id,risorsa,keywords,categoria
131,Generalization bounds for neural networks 2,"bounds ,generalization ,learning ,mathematics ,networks ,neural networks ,statistical ,statistics ,theory",Probability and Statistics
132,Generalization bounds for kernel methods 3,"bounds ,generalization ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
133,Optimistic VC inequality for random classes of sets,"learning ,mathematics ,sets ,statistical ,statistics ,theory",Probability and Statistics
134,Applications of random VC inequality to voting algorithms and SVM,"algorithms ,applications ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
135,Talagrand''s convex-hull distance inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
136,Consequences of Talagrand''s convex-hull distance inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
137,Talagrand''s concentration inequality for empirical processes,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
138,Talagrand''s two-point inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
139,Applications of Talagrand''s concentration inequality,"applications ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
140,Applications of talagrand''s convex-hull distance inequality. Bin packing,"applications ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
141,Entropy tensorization inequality. Tensorization of Laplace transform,"entropy ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
142,Application of the entropy tensorization technique,"entropy ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
143,Stein''s method for concentration inequalities,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
144,Binomial confidence intervals,"applications ,binomial ,confidence ,confidence intervals ,mathematics ,statistics",Probability and Statistics
145,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 1","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem",Probability and Statistics
146,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 2","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem",Probability and Statistics
147,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 3","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem",Probability and Statistics
148,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 4","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem",Probability and Statistics
149,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 5","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem",Probability and Statistics
150,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 1","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors",Probability and Statistics
151,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 2","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors",Probability and Statistics
152,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 3","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors",Probability and Statistics
153,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 4","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors",Probability and Statistics
154,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 5","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors",Probability and Statistics
155,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 6","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors",Probability and Statistics
156,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 7","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors",Probability and Statistics
157,Functions of Random Variables and Derived Distributions 1,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables",Probability and Statistics
158,Functions of Random Variables and Derived Distributions 2,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables",Probability and Statistics
159,Functions of Random Variables and Derived Distributions 3,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables",Probability and Statistics
160,Functions of Random Variables and Derived Distributions 4,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables",Probability and Statistics
161,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 1,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors",Probability and Statistics
162,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 2,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors",Probability and Statistics
163,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 3,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors",Probability and Statistics
164,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 4,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors",Probability and Statistics
165,Conditional Second Moment Analysis 1,"analysis ,conditional ,engineering ,environmental ,probability ,second ,statistics",Probability and Statistics
166,Conditional Second Moment Analysis 2,"analysis ,conditional ,engineering ,environmental ,probability ,second ,statistics",Probability and Statistics
167,Conditional Second Moment Analysis 3,"analysis ,conditional ,engineering ,environmental ,probability ,second ,statistics",Probability and Statistics
168,"Selected Distribution Models: Normal, Lognormal, Extreme, Multivariate Normal Distributions","distribution ,distributions ,engineering ,environmental ,models ,multivariate ,normal ,probability ,statistics",Probability and Statistics
169,Time-invariant Second-Moment Reliability Analysis and Time-Invariant Full-Distribution Reliability Analysis 1,"analysis ,distribution ,engineering ,environmental ,probability ,reliability ,second ,statistics",Probability and Statistics
170,Time-invariant Second-Moment Reliability Analysis and Time-Invariant Full-Distribution Reliability Analysis 2,"analysis ,distribution ,engineering ,environmental ,probability ,reliability ,second ,statistics",Probability and Statistics
171,Stochastic Processes and Brownian Motion,stochastic processes,Probability and Statistics
172,Non-equilibrium Thermodynamics,"chemistry ,equilibrium ,statistical ,thermodynamics",Probability and Statistics
173,Hydrodynamics and Light Scattering,"chemistry ,hydrodynamics ,light ,scattering ,statistical",Probability and Statistics
174,Time Correlation Functions,statistical,Probability and Statistics
175,Rule mining and the Apriori algorithm,"learning ,management ,prediction ,statistics",Probability and Statistics
176,R for machine learning,"learning ,machine learning ,management ,prediction ,statistics",Probability and Statistics
177,Fundamentals of learning,"learning ,management ,prediction ,statistics",Probability and Statistics
178,Inference,"inference ,learning ,management ,prediction ,statistics",Probability and Statistics
179,Clustering,"clustering ,learning ,management ,prediction ,statistics",Probability and Statistics
180,k-nearest neighbors,"learning ,management ,prediction ,statistics",Probability and Statistics
181,Naive Bayes,"bayes ,learning ,management ,prediction ,statistics",Probability and Statistics
182,Decision trees,"decision ,decision trees ,learning ,management ,prediction ,statistics",Probability and Statistics
183,Logistic regression,"learning ,management ,prediction ,regression ,statistics",Probability and Statistics
184,Boosting,"boosting ,learning ,management ,prediction ,statistics",Probability and Statistics
185,Convex optimization,"learning ,management ,optimization ,prediction ,statistics",Probability and Statistics
186,Support vector machines,"learning ,management ,prediction ,statistics ,support ,support vector machines ,vector",Probability and Statistics
187,Kernels,"learning ,management ,prediction ,statistics",Probability and Statistics
188,Statistical learning theory,"learning ,management ,prediction ,statistical ,statistical learning ,statistical learning theory ,statistics ,theory",Probability and Statistics
189,Bayesian analysis,"analysis ,bayesian ,bayesian analysis ,learning ,management ,prediction ,statistics",Probability and Statistics
190,Set and Probability Theory,"economics ,probability ,probability theory ,statistical ,theory",Probability and Statistics
191,"Random Variables, Probability Mass/Density Function, and Cumulative Distribution Function (Univariate Model)","cumulative distribution ,cumulative distribution function ,distribution ,distribution function ,economics ,function ,model ,probability ,random variables ,statistical ,variables",Probability and Statistics
192,"Multiple Random Variables, Bivariate Distribution, Marginal Distribution, Conditional Distribution, Independence, Multivariate Distribution (Multivariate Model)","bivariate ,conditional ,distribution ,economics ,independence ,model ,multivariate ,random variables ,statistical ,variables",Probability and Statistics
193,Expectation (Moments),"economics ,expectation ,statistical",Probability and Statistics
194,Random Variable and Random Vector Transformations (Univariate and Multivariate Models),"economics ,models ,multivariate ,random variable ,random vector ,statistical ,vector",Probability and Statistics
195,Special Distributions (Discrete and Continuous),"discrete ,distributions ,economics ,statistical",Probability and Statistics
196,Graph Representation: Special Distributions,"distributions ,economics ,representation ,statistical",Probability and Statistics
197,"Random Sample, Law of Large Numbers, Central Limit Theorem ","economics ,law ,law of large numbers ,random sample ,sample ,statistical",Probability and Statistics
198,Simulations: Magnifying Glass,"economics ,statistical",Probability and Statistics
199,Point Estimators and Point Estimation Methods,"economics ,estimation ,point estimation ,statistical",Probability and Statistics
200,An Overview,"economics ,statistical",Probability and Statistics
201,Interval Estimation and Confidence Intervals,"confidence ,confidence intervals ,economics ,estimation ,interval estimation ,statistical",Probability and Statistics
202,t-Student versus Standard Normal: A Graphical View,"economics ,normal ,statistical",Probability and Statistics
203,Hypothesis Testing,"economics ,hypothesis testing ,statistical",Probability and Statistics
204,An Applied Review,"economics ,statistical",Probability and Statistics
205,Deciding between Two Simple Hypotheses: The Neyman-Pearson Lemma,"decision ,decision theory ,mathematics ,statistics ,theory",Probability and Statistics
206,Decision Theory ,"bayes ,bayes decision theory ,decision ,decision theory ,mathematics ,statistics ,theory",Probability and Statistics
207,Bayes Decision Theory,"mathematics ,statistics",Probability and Statistics
208,Â Realizable Rules ,"mathematics ,probability ,statistics",Probability and Statistics
209,The Sequential Probability Ratio Test,"decision ,decision theory ,mathematics ,statistics ,theory",Probability and Statistics
210,Sequential Decision Theory ,"mathematics ,statistics",Probability and Statistics
211,Proof of Optimality of the SPRT ,"mathematics ,statistics",Probability and Statistics
212,Sufficient Statistics ,"convexity ,estimation ,mathematics ,statistics",Probability and Statistics
213,Estimation and Convexity ,"mathematics ,statistics ,sufficiency",Probability and Statistics
214,Minimal Sufficiency and the Lehmann-ScheffÃ© Property ,"bounds ,errors ,information ,mathematics ,mean ,statistics",Probability and Statistics
215,Lower Bounds on Mean-squared Errors: Information Inequalities ,"exponential ,exponential families ,mathematics ,statistics",Probability and Statistics
216,Â Exponential Families ,"bayes ,estimation ,mathematics ,statistics",Probability and Statistics
217,Bayes Estimation ,"james-stein estimators ,mathematics ,statistics ,stein's phenomenon",Probability and Statistics
218,Stein''s Phenomenon and James-Stein Estimators ,"exponential ,exponential families ,mathematics ,statistics",Probability and Statistics
219,Continuity at the Boundary for Exponential Families ,"exponential ,exponential families ,likelihood ,mathematics ,maximum likelihood ,statistics",Probability and Statistics
220,Maximum Likelihood Estimates - In Exponential Families ,"errors ,likelihood ,mathematics ,regression ,solari's example ,statistics ,variables",Probability and Statistics
221,Likelihood Equations and Errors-in-variables Regression: Solari''s Example ,"consistency ,mathematics ,statistics",Probability and Statistics
222,M-estimators and Their Consistency ,"mathematics ,robust ,statistics",Probability and Statistics
223,M-estimates and Robust Location Estimates ,"mathematics ,robustness ,statistics",Probability and Statistics
224,"Robustness, Breakdown Points, and 1-dimensional Location M-estimates ","consistency ,mathematics ,statistics",Probability and Statistics
225,Consistency of Approximate M-estimators of psi type ,"asymptotic normality ,mathematics ,statistics",Probability and Statistics
226,Asymptotic Normality of M-estimates ,"efficiency ,mathematics ,statistics",Probability and Statistics
227,Efficiency of Estimators ,"efficiency ,likelihood ,mathematics ,maximum likelihood ,maximum likelihood estimators ,statistics",Probability and Statistics
228,Efficiency of Maximum Likelihood Estimators ,"likelihood ,likelihood ratio test ,mathematics ,statistics ,wilks's theorem",Probability and Statistics
229,A Likelihood Ratio Test for Nested Composite Hypotheses: Wilks''s theorem ,"mathematics ,statistics",Probability and Statistics
230,Review of Probability,statistical,Probability and Statistics
231,Collecting Data,statistical,Probability and Statistics
232,Summarizing and Exploring Data,statistical,Probability and Statistics
233,Sampling Distributions of Statistics,statistics,Probability and Statistics
234,Basic Concepts of Inference 1,statistical,Probability and Statistics
235,Basic Concepts of Inference 2,statistical,Probability and Statistics
236,Basic Concepts of Inference 3,statistical,Probability and Statistics
237,Inferences for Single Samples,statistical,Probability and Statistics
238,Inferences for Two Samples,statistical,Probability and Statistics
239,Inferences for Proportions and Count Data 1,statistical,Probability and Statistics
240,Inferences for Proportions and Count Data 2,statistical,Probability and Statistics
241,Inferences for Proportions and Count Data 3,statistical,Probability and Statistics
242,Similar Linear Regression and Correlation,"analysis ,correlation ,data ,linear ,linear regression ,management ,regression ,statistical",Probability and Statistics
243,Multiple Linear Regression,"analysis ,data ,linear ,linear regression ,management ,regression ,statistical",Probability and Statistics
244,Nonparametric Statistical Methods,statistical methods,Probability and Statistics
245,Two Level System Handout ,"computer ,engineering ,materials ,physics ,quantum ,statistical",Probability and Statistics
246,Tunneling and STM ,"computer ,engineering ,materials ,physics ,quantum ,statistical ,tunneling",Probability and Statistics
247,Revisiting Tunneling using WKB Approximation ,"approximation ,computer ,engineering ,materials ,physics ,quantum ,statistical ,tunneling",Probability and Statistics
248,Formula Sheet ,"computer ,engineering ,formula ,materials ,physics ,quantum ,statistical",Probability and Statistics
249,Two-level Formulas ,"computer ,engineering ,materials ,physics ,quantum ,statistical",Probability and Statistics
250,Gaussian Integral ,"computer ,engineering ,gaussian ,materials ,physics ,quantum ,statistical",Probability and Statistics
251,"Fundamental Definitions, The Zeroth Law, The First Law","definitions ,first ,first law ,law ,physics ,statistical ,zeroth law",Probability and Statistics
252,"The Second Law, Carnot Engines and Thermodynamic Temperature, Entropy","carnot ,entropy ,law ,physics ,second ,second law ,statistical",Probability and Statistics
253,"Approach to Equilibrium and Thermodynamic Potentials, Useful Mathematical Results","equilibrium ,physics ,statistical ,thermodynamic potentials",Probability and Statistics
254,"Stability Conditions, The Third Law","law ,physics ,stability ,statistical ,third law",Probability and Statistics
255,"General Definitions, One Random Variable, Some Important Probability Distributions","definitions ,distributions ,physics ,probability ,probability distributions ,random variable ,statistical",Probability and Statistics
256,"Many Random Variables, Sums of Random Variables and the Central Limit Theorem, Rules for Large Numbers, Information, Entropy, and Estimation","central limit theorem ,entropy ,estimation ,information ,limit theorem ,physics ,random variables ,statistical ,the central limit theorem ,variables",Probability and Statistics
257,"General Definitions, Liouville''s Theorem","definitions ,physics ,statistical",Probability and Statistics
258,"The Bogoliubov-Born-Green-Kirkwood-Yvon Hierarchy, The Boltzmann Equation","boltzmann ,physics ,statistical",Probability and Statistics
259,"The H-Theorem and Irreversibility, Equilibrium Properties","equilibrium ,physics ,statistical",Probability and Statistics
260,Conservation Laws,"conservation ,physics ,statistical",Probability and Statistics
261,"Zeroth Order Hydrodynamics, First Order Hydrodynamics","first ,hydrodynamics ,physics ,statistical",Probability and Statistics
262,"General Definitions, The Microcanonical Ensemble, Two-Level Systems","definitions ,ensemble ,microcanonical ,physics ,statistical ,two-level systems",Probability and Statistics
263,"The Ideal Gas, Mixing Entropy and Gibbs'' Paradox, The Canonical Ensemble","canonical ,ensemble ,entropy ,gibbs ,ideal gas ,mixing ,paradox ,physics ,statistical",Probability and Statistics
264,"Examples, The Gibbs Canonical Ensemble, The Grand Canonical Ensemble","canonical ,ensemble ,gibbs ,physics ,statistical",Probability and Statistics
265,The Cumulant Expansion,"physics ,statistical",Probability and Statistics
266,The Cluster Expansion,"cluster ,physics ,statistical",Probability and Statistics
267,"The Second Virial Coefficient and Van der Waals Equation, Breakdown of the Van der Waals Equation, Mean Field Theory of Condensation","mean ,physics ,second ,statistical ,theory",Probability and Statistics
268,"Variational Methods, Corresponding States, Critical Point Behavior","behavior ,physics ,states ,statistical ,variational methods",Probability and Statistics
269,"Mean field theory of condensation, Corresponding states, Critical point behavior (from L17 & L18)","behavior ,mean ,physics ,states ,statistical ,theory",Probability and Statistics
270,"Dilute Polyatomic Gases, Vibrations of a Solid, Black-body Radiation","gases ,physics ,polyatomic gases ,statistical",Probability and Statistics
271,"Quantum Microstates, Quantum Macrostates","physics ,quantum ,statistical",Probability and Statistics
272,"Collective Behavior, from Particles to Fields Introduction, phonons and elasticity","behavior ,physics ,statistical",Probability and Statistics
273,"Collective Behavior, from Particles to Fields : Phase transitions, critical behavior The Landau-Ginzburg Approach Introduction, saddle point approximation, and mean-field theory","approximation ,behavior ,mean ,mean-field theory ,phase ,phase transitions ,physics ,statistical ,theory",Probability and Statistics
274,The Landau-Ginzburg Approach : Spontaneous symmetry breaking and goldstone modes,"physics ,statistical",Probability and Statistics
